,country,date,UNEMP_rate
280,JPN,1978-04-01,2.266667
281,USA,1978-04-01,6.0
282,CAN,1978-07-01,8.366667
283,JPN,1978-07-01,2.3
284,USA,1978-07-01,6.033333
285,CAN,1978-10-01,8.266666
286,JPN,1978-10-01,2.2
287,USA,1978-10-01,5.9
288,CAN,1979-01-01,8.033334
289,JPN,1979-01-01,2.1
290,USA,1979-01-01,5.866667
291,CAN,1979-04-01,7.666667
292,JPN,1979-04-01,2.033333
293,USA,1979-04-01,5.7
294,CAN,1979-07-01,7.1
295,JPN,1979-07-01,2.133333
296,USA,1979-07-01,5.866667
297,CAN,1979-10-01,7.2
298,JPN,1979-10-01,2.066667
299,USA,1979-10-01,5.966667
300,CAN,1980-01-01,7.566667
301,JPN,1980-01-01,1.9
302,USA,1980-01-01,6.3
303,CAN,1980-04-01,7.733333
304,JPN,1980-04-01,1.966667
305,USA,1980-04-01,7.333333
306,CAN,1980-07-01,7.5
307,JPN,1980-07-01,2.033333
308,USA,1980-07-01,7.666667
309,CAN,1980-10-01,7.266667
310,JPN,1980-10-01,2.166667
311,USA,1980-10-01,7.4
312,CAN,1981-01-01,7.4
313,JPN,1981-01-01,2.2
314,USA,1981-01-01,7.433333
315,CAN,1981-04-01,7.166667
316,JPN,1981-04-01,2.266667
317,USA,1981-04-01,7.4
318,CAN,1981-07-01,7.466667
319,JPN,1981-07-01,2.166667
320,USA,1981-07-01,7.4
321,CAN,1981-10-01,8.433333
322,JPN,1981-10-01,2.2
323,USA,1981-10-01,8.233334
324,CAN,1982-01-01,8.933333
325,JPN,1982-01-01,2.233333
326,USA,1982-01-01,8.833333
327,CAN,1982-04-01,10.4
328,JPN,1982-04-01,2.333333
329,USA,1982-04-01,9.433333
330,CAN,1982-07-01,12.1
331,JPN,1982-07-01,2.366667
332,USA,1982-07-01,9.9
333,CAN,1982-10-01,12.96667
334,JPN,1982-10-01,2.466667
335,USA,1982-10-01,10.66667
336,CAN,1983-01-01,12.63333
337,FRA,1983-01-01,8.1
338,GBR,1983-01-01,10.8
339,ITA,1983-01-01,7.066667
340,JPN,1983-01-01,2.666667
341,USA,1983-01-01,10.36667
342,CAN,1983-04-01,12.4
343,FRA,1983-04-01,8.533334
344,GBR,1983-04-01,10.9
345,ITA,1983-04-01,7.266667
346,JPN,1983-04-01,2.666667
347,USA,1983-04-01,10.13333
348,CAN,1983-07-01,11.66667
349,FRA,1983-07-01,9.0
350,GBR,1983-07-01,10.9
351,ITA,1983-07-01,7.433333
352,JPN,1983-07-01,2.7
353,USA,1983-07-01,9.366667
354,CAN,1983-10-01,11.3
355,FRA,1983-10-01,9.4
356,GBR,1983-10-01,10.8
357,ITA,1983-10-01,7.7
358,JPN,1983-10-01,2.6
359,USA,1983-10-01,8.533334
360,CAN,1984-01-01,11.3
361,FRA,1984-01-01,9.7
362,GBR,1984-01-01,10.8
363,ITA,1984-01-01,7.866667
364,JPN,1984-01-01,2.7
365,USA,1984-01-01,7.866667
366,CAN,1984-04-01,11.5
367,FRA,1984-04-01,9.933333
368,GBR,1984-04-01,10.7
369,ITA,1984-04-01,7.833333
370,JPN,1984-04-01,2.733333
371,USA,1984-04-01,7.433333
372,CAN,1984-07-01,11.43333
373,FRA,1984-07-01,10.2
374,GBR,1984-07-01,10.9
375,ITA,1984-07-01,7.8
376,JPN,1984-07-01,2.733333
377,USA,1984-07-01,7.433333
378,CAN,1984-10-01,11.26667
379,FRA,1984-10-01,10.43333
380,GBR,1984-10-01,11.1
381,ITA,1984-10-01,7.833333
382,JPN,1984-10-01,2.666667
383,USA,1984-10-01,7.3
384,CAN,1985-01-01,10.8
385,FRA,1985-01-01,10.4
386,GBR,1985-01-01,11.2
387,ITA,1985-01-01,8.0
388,JPN,1985-01-01,2.566667
389,USA,1985-01-01,7.233333
390,CAN,1985-04-01,10.7
391,FRA,1985-04-01,10.4
392,GBR,1985-04-01,11.3
393,ITA,1985-04-01,8.033334
394,JPN,1985-04-01,2.566667
395,USA,1985-04-01,7.3
396,CAN,1985-07-01,10.3
397,FRA,1985-07-01,10.4
398,GBR,1985-07-01,11.2
399,ITA,1985-07-01,8.233334
400,JPN,1985-07-01,2.6
401,USA,1985-07-01,7.2
402,CAN,1985-10-01,10.23333
403,FRA,1985-10-01,10.46667
404,GBR,1985-10-01,11.1
405,ITA,1985-10-01,8.4
406,JPN,1985-10-01,2.766667
407,USA,1985-10-01,7.033333
408,CAN,1986-01-01,9.833333
409,FRA,1986-01-01,10.36667
410,GBR,1986-01-01,11.1
411,ITA,1986-01-01,8.566667
412,JPN,1986-01-01,2.666667
413,USA,1986-01-01,7.033333
414,CAN,1986-04-01,9.6
